method,list_size,shuffle_percentage,time_seconds
pivot_find,10,5,0.0
pivot_find,10,5,0.0
pivot_find,10,5,0.0
pivot_find,10,5,0.0
pivot_find,10,5,0.0
pivot_find,10,5,0.0
pivot_find,10,5,0.0
pivot_find,10,5,0.0
pivot_find,10,5,0.0
pivot_find,10,5,0.0
pivot_find,10,25,0.0
pivot_find,10,25,0.0
pivot_find,10,25,0.0
pivot_find,10,25,0.0
pivot_find,10,25,0.0
pivot_find,10,25,0.0
pivot_find,10,25,0.0
pivot_find,10,25,0.0
pivot_find,10,25,0.0
pivot_find,10,25,0.0
pivot_find,10,45,0.0
pivot_find,10,45,0.0
pivot_find,10,45,0.0
pivot_find,10,45,0.0
pivot_find,10,45,0.0
pivot_find,10,45,0.0
pivot_find,10,45,0.0
pivot_find,10,45,0.0
pivot_find,10,45,0.0
pivot_find,10,45,0.0
pivot_find,100,5,0.0012
pivot_find,100,5,0.0012
pivot_find,100,5,0.0013
pivot_find,100,5,0.001
pivot_find,100,5,0.0008
pivot_find,100,5,0.001
pivot_find,100,5,0.001
pivot_find,100,5,0.0011
pivot_find,100,5,0.0011
pivot_find,100,5,0.001
pivot_find,100,25,0.001
pivot_find,100,25,0.0009
pivot_find,100,25,0.001
pivot_find,100,25,0.001
pivot_find,100,25,0.001
pivot_find,100,25,0.0011
pivot_find,100,25,0.0002
pivot_find,100,25,0.0012
pivot_find,100,25,0.0003
pivot_find,100,25,0.001
pivot_find,100,45,0.0011
pivot_find,100,45,0.0002
pivot_find,100,45,0.0002
pivot_find,100,45,0.0012
pivot_find,100,45,0.0011
pivot_find,100,45,0.0009
pivot_find,100,45,0.001
pivot_find,100,45,0.0008
pivot_find,100,45,0.0002
pivot_find,100,45,0.001
pivot_find,1000,5,0.0466
pivot_find,1000,5,0.0461
pivot_find,1000,5,0.0463
pivot_find,1000,5,0.0473
pivot_find,1000,5,0.0467
pivot_find,1000,5,0.047
pivot_find,1000,5,0.046
pivot_find,1000,5,0.046
pivot_find,1000,5,0.0475
pivot_find,1000,5,0.0451
pivot_find,1000,25,0.0476
pivot_find,1000,25,0.0241
pivot_find,1000,25,0.0468
pivot_find,1000,25,0.027
pivot_find,1000,25,0.0461
pivot_find,1000,25,0.049
pivot_find,1000,25,0.0194
pivot_find,1000,25,0.0463
pivot_find,1000,25,0.0462
pivot_find,1000,25,0.0476
pivot_find,1000,45,0.0462
pivot_find,1000,45,0.0121
pivot_find,1000,45,0.026
pivot_find,1000,45,0.0269
pivot_find,1000,45,0.0106
pivot_find,1000,45,0.0128
pivot_find,1000,45,0.0175
pivot_find,1000,45,0.0237
pivot_find,1000,45,0.0232
pivot_find,1000,45,0.0251
pivot_find,10000,5,4.8864
pivot_find,10000,5,5.1043
pivot_find,10000,5,5.0897
pivot_find,10000,5,4.861
pivot_find,10000,5,4.9963
pivot_find,10000,5,4.9764
pivot_find,10000,5,4.8961
pivot_find,10000,5,2.3592
pivot_find,10000,5,5.015
pivot_find,10000,5,4.7864
pivot_find,10000,25,3.3323
pivot_find,10000,25,4.9074
pivot_find,10000,25,4.923
pivot_find,10000,25,4.8564
pivot_find,10000,25,4.8992
pivot_find,10000,25,2.3728
pivot_find,10000,25,4.905
pivot_find,10000,25,4.0686
pivot_find,10000,25,1.5852
pivot_find,10000,25,4.8457
pivot_find,10000,45,4.817
pivot_find,10000,45,4.8137
pivot_find,10000,45,4.8229
pivot_find,10000,45,2.5436
pivot_find,10000,45,0.9324
pivot_find,10000,45,4.9895
pivot_find,10000,45,2.2798
pivot_find,10000,45,1.7279
pivot_find,10000,45,4.8051
pivot_find,10000,45,1.7213
pivot_find,100000,5,493.8497
pivot_find,100000,5,502.0929
pivot_find,100000,5,503.0867
pivot_find,100000,5,514.3424
pivot_find,100000,5,512.8446
pivot_find,100000,5,510.5378
pivot_find,100000,5,508.5412
pivot_find,100000,5,502.5063
pivot_find,100000,5,522.3299
pivot_find,100000,5,504.6386
pivot_find,100000,25,311.5996
pivot_find,100000,25,178.2518
pivot_find,100000,25,557.1598
pivot_find,100000,25,549.8639
pivot_find,100000,25,554.042
pivot_find,100000,25,180.9721
pivot_find,100000,25,537.2346
pivot_find,100000,25,537.6112
pivot_find,100000,25,570.3669
pivot_find,100000,25,126.28
pivot_find,100000,45,127.831
pivot_find,100000,45,580.8173
pivot_find,100000,45,260.7515
pivot_find,100000,45,145.3156
pivot_find,100000,45,342.3812
pivot_find,100000,45,619.439
pivot_find,100000,45,245.0761
pivot_find,100000,45,637.2195
pivot_find,100000,45,509.5839
pivot_find,100000,45,190.4891
pivot_find,10000,5,4.9491
pivot_find,10000,5,4.9346
pivot_find,10000,5,5.0901
pivot_find,10000,5,5.0976
pivot_find,10000,5,4.9978
pivot_find,10000,5,5.1061
pivot_find,10000,5,4.8727
pivot_find,10000,5,4.9379
pivot_find,10000,5,5.2125
pivot_find,10000,5,5.1602
pivot_find,10000,25,4.8932
pivot_find,10000,25,5.0105
pivot_find,10000,25,4.2458
pivot_find,10000,25,5.2985
pivot_find,10000,25,2.5697
pivot_find,10000,25,2.3377
pivot_find,10000,25,5.0034
pivot_find,10000,25,2.0492
pivot_find,10000,25,2.4164
pivot_find,10000,25,3.9209
pivot_find,10000,45,2.3823
pivot_find,10000,45,2.2627
pivot_find,10000,45,5.0419
pivot_find,10000,45,5.0904
pivot_find,10000,45,2.7918
pivot_find,10000,45,3.486
pivot_find,10000,45,1.4152
pivot_find,10000,45,1.7175
pivot_find,10000,45,4.9537
pivot_find,10000,45,1.2971
pivot_find,100000,5,536.7943
pivot_find,100000,5,516.2155
pivot_find,100000,5,510.5145
pivot_find,100000,5,532.5069
pivot_find,100000,5,509.5296
pivot_find,100000,5,507.9667
pivot_find,100000,5,502.5253
pivot_find,100000,5,509.8879
pivot_find,100000,5,518.8715
pivot_find,100000,5,513.3646
pivot_find,100000,25,535.9059
pivot_find,100000,25,152.4947
pivot_find,100000,25,154.4155
pivot_find,100000,25,550.9758
pivot_find,100000,25,197.5429
pivot_find,100000,25,504.0996
pivot_find,100000,25,536.5314
pivot_find,100000,25,536.5001
pivot_find,100000,25,556.8149
pivot_find,100000,25,554.6235
pivot_find,100000,45,586.643
pivot_find,100000,45,131.1794
pivot_find,100000,45,183.2034
pivot_find,100000,45,270.5729
pivot_find,100000,45,585.0203
pivot_find,100000,45,578.8489
pivot_find,100000,45,128.7518
pivot_find,100000,45,320.7322
pivot_find,100000,45,559.755
pivot_find,100000,45,598.6585
pivot_find,10000,5,1.5874
pivot_find,10000,5,4.9817
pivot_find,10000,5,5.1491
pivot_find,10000,5,4.9865
pivot_find,10000,5,5.0673
pivot_find,10000,5,5.081
pivot_find,10000,5,4.9993
pivot_find,10000,5,4.9099
pivot_find,10000,5,5.0859
pivot_find,10000,5,4.9609
pivot_find,10000,25,5.0966
pivot_find,10000,25,5.0081
pivot_find,10000,25,5.0749
pivot_find,10000,25,5.047
pivot_find,10000,25,2.2252
pivot_find,10000,25,4.9874
pivot_find,10000,25,5.0451
pivot_find,10000,25,1.2323
pivot_find,10000,25,4.97
pivot_find,10000,25,4.9389
pivot_find,10000,45,5.095
pivot_find,10000,45,1.8417
pivot_find,10000,45,5.0292
pivot_find,10000,45,5.2618
pivot_find,10000,45,3.7214
pivot_find,10000,45,2.0695
pivot_find,10000,45,5.0364
pivot_find,10000,45,2.0511
pivot_find,10000,45,5.1678
pivot_find,10000,45,5.1119
pivot_find,100000,5,515.4905
pivot_find,100000,5,512.9199
pivot_find,100000,5,517.2625
pivot_find,100000,5,514.0162
pivot_find,100000,5,510.5133
pivot_find,100000,5,520.8803
pivot_find,100000,5,514.5962
pivot_find,100000,5,503.9049
pivot_find,100000,5,479.9242
pivot_find,100000,5,478.5349
pivot_find,100000,25,130.5817
pivot_find,100000,25,174.4325
pivot_find,100000,25,494.3733
pivot_find,100000,25,156.3749
pivot_find,100000,25,218.1144
pivot_find,100000,25,154.2194
pivot_find,100000,25,251.6434
pivot_find,100000,25,134.3037
pivot_find,100000,25,494.4915
pivot_find,100000,25,496.0575
pivot_find,100000,45,122.4533
pivot_find,100000,45,102.9138
pivot_find,100000,45,522.8584
pivot_find,100000,45,172.5122
pivot_find,100000,45,513.86
pivot_find,100000,45,438.2961
pivot_find,100000,45,510.67
pivot_find,100000,45,171.7218
pivot_find,100000,45,245.656
pivot_find,100000,45,101.2272
pivot_find,10000,5,5.1573
pivot_find,10000,5,4.8632
pivot_find,10000,5,4.9203
pivot_find,10000,5,4.8431
pivot_find,10000,5,4.8477
pivot_find,10000,5,4.8436
pivot_find,10000,5,1.5071
pivot_find,10000,5,4.8842
pivot_find,10000,5,5.0053
pivot_find,10000,5,1.7051
pivot_find,10000,25,4.9151
pivot_find,10000,25,4.3764
pivot_find,10000,25,4.9211
pivot_find,10000,25,4.9447
pivot_find,10000,25,5.0038
pivot_find,10000,25,4.8925
pivot_find,10000,25,4.9418
pivot_find,10000,25,2.2389
pivot_find,10000,25,4.9382
pivot_find,10000,25,1.458
pivot_find,10000,45,2.8917
pivot_find,10000,45,4.9966
pivot_find,10000,45,1.3263
pivot_find,10000,45,5.0391
pivot_find,10000,45,5.0579
pivot_find,10000,45,5.1363
pivot_find,10000,45,5.1421
pivot_find,10000,45,5.4928
pivot_find,10000,45,5.2399
pivot_find,10000,45,1.1399
pivot_find,100000,5,507.7733
pivot_find,100000,5,509.9736
pivot_find,100000,5,512.5489
pivot_find,100000,5,512.5739
pivot_find,100000,5,514.873
pivot_find,100000,5,315.2678
pivot_find,100000,5,519.3088
pivot_find,100000,5,524.4019
pivot_find,100000,5,531.3367
