method,list_size,shuffle_percentage,time_seconds
pivot_mean,100,5,0.0005
pivot_mean,100,5,0.0006
pivot_mean,100,5,0.0006
pivot_mean,100,5,0.0005
pivot_mean,100,5,0.0005
pivot_mean,100,5,0.0005
pivot_mean,100,5,0.0006
pivot_mean,100,5,0.0006
pivot_mean,100,5,0.0004
pivot_mean,100,5,0.0002
pivot_mean,100,25,0.0005
pivot_mean,100,25,0.0004
pivot_mean,100,25,0.0002
pivot_mean,100,25,0.0003
pivot_mean,100,25,0.0003
pivot_mean,100,25,0.0005
pivot_mean,100,25,0.0003
pivot_mean,100,25,0.0003
pivot_mean,100,25,0.0003
pivot_mean,100,25,0.0002
pivot_mean,100,45,0.0003
pivot_mean,100,45,0.0005
pivot_mean,100,45,0.0005
pivot_mean,100,45,0.0005
pivot_mean,100,45,0.0004
pivot_mean,100,45,0.0003
pivot_mean,100,45,0.0005
pivot_mean,100,45,0.0003
pivot_mean,100,45,0.0004
pivot_mean,100,45,0.0005
pivot_mean,1000,5,0.0228
pivot_mean,1000,5,0.037
pivot_mean,1000,5,0.0221
pivot_mean,1000,5,0.0372
pivot_mean,1000,5,0.0364
pivot_mean,1000,5,0.0209
pivot_mean,1000,5,0.0375
pivot_mean,1000,5,0.037
pivot_mean,1000,5,0.0206
pivot_mean,1000,5,0.0157
pivot_mean,1000,25,0.027
pivot_mean,1000,25,0.0393
pivot_mean,1000,25,0.0353
pivot_mean,1000,25,0.0168
pivot_mean,1000,25,0.0249
pivot_mean,1000,25,0.0281
pivot_mean,1000,25,0.0265
pivot_mean,1000,25,0.0265
pivot_mean,1000,25,0.0319
pivot_mean,1000,25,0.0398
pivot_mean,1000,45,0.0388
pivot_mean,1000,45,0.033
pivot_mean,1000,45,0.0183
pivot_mean,1000,45,0.0357
pivot_mean,1000,45,0.0138
pivot_mean,1000,45,0.0121
pivot_mean,1000,45,0.0211
pivot_mean,1000,45,0.0285
pivot_mean,1000,45,0.0351
pivot_mean,1000,45,0.0365
pivot_mean,10000,5,2.0805
pivot_mean,10000,5,2.5
pivot_mean,10000,5,2.1541
pivot_mean,10000,5,3.8799
pivot_mean,10000,5,4.485
pivot_mean,10000,5,4.1228
pivot_mean,10000,5,3.6476
pivot_mean,10000,5,3.5682
pivot_mean,10000,5,2.1657
pivot_mean,10000,5,2.3646
pivot_mean,10000,25,2.2925
pivot_mean,10000,25,1.6741
pivot_mean,10000,25,2.0684
pivot_mean,10000,25,1.5357
pivot_mean,10000,25,2.3081
pivot_mean,10000,25,1.2732
pivot_mean,10000,25,2.0661
pivot_mean,10000,25,2.6646
pivot_mean,10000,25,3.89
pivot_mean,10000,25,1.3576
pivot_mean,10000,45,1.5549
pivot_mean,10000,45,1.3321
pivot_mean,10000,45,2.3897
pivot_mean,10000,45,2.1554
pivot_mean,10000,45,1.0372
pivot_mean,10000,45,3.24
pivot_mean,10000,45,1.6365
pivot_mean,10000,45,3.1225
pivot_mean,10000,45,2.2349
pivot_mean,10000,45,2.6444
pivot_mean,100000,5,261.2124
pivot_mean,100000,5,374.9617
pivot_mean,100000,5,409.8278
pivot_mean,100000,5,276.0749
pivot_mean,100000,5,209.5407
pivot_mean,100000,5,209.5103
pivot_mean,100000,5,212.3031
pivot_mean,100000,5,211.237
pivot_mean,100000,5,375.5516
pivot_mean,100000,5,258.2798
pivot_mean,100000,25,139.6984
pivot_mean,100000,25,218.6561
pivot_mean,100000,25,159.1941
pivot_mean,100000,25,268.7694
pivot_mean,100000,25,298.7242
pivot_mean,100000,25,268.5102
pivot_mean,100000,25,315.5599
pivot_mean,100000,25,317.8051
pivot_mean,100000,25,138.4718
pivot_mean,100000,25,356.7152
pivot_mean,100000,45,205.8344
pivot_mean,100000,45,281.2237
pivot_mean,100000,45,337.9025
pivot_mean,100000,45,145.3981
pivot_mean,100000,45,194.2536
pivot_mean,100000,45,419.5477
pivot_mean,100000,45,388.016
pivot_mean,100000,45,175.8472
pivot_mean,100000,45,262.4848
pivot_mean,100000,45,144.3115
