method,list_size,shuffle_percentage,time_seconds
pivot_middle,100,5,0.0004
pivot_middle,100,5,0.0002
pivot_middle,100,5,0.0002
pivot_middle,100,5,0.0002
pivot_middle,100,5,0.0002
pivot_middle,100,5,0.0003
pivot_middle,100,5,0.0003
pivot_middle,100,5,0.0002
pivot_middle,100,5,0.0002
pivot_middle,100,5,0.0002
pivot_middle,100,25,0.0002
pivot_middle,100,25,0.0002
pivot_middle,100,25,0.0002
pivot_middle,100,25,0.0003
pivot_middle,100,25,0.0002
pivot_middle,100,25,0.0002
pivot_middle,100,25,0.0002
pivot_middle,100,25,0.0002
pivot_middle,100,25,0.0003
pivot_middle,100,25,0.0003
pivot_middle,100,45,0.0002
pivot_middle,100,45,0.0002
pivot_middle,100,45,0.0002
pivot_middle,100,45,0.0002
pivot_middle,100,45,0.0003
pivot_middle,100,45,0.0003
pivot_middle,100,45,0.0002
pivot_middle,100,45,0.0002
pivot_middle,100,45,0.0002
pivot_middle,100,45,0.0002
pivot_middle,1000,5,0.0217
pivot_middle,1000,5,0.0101
pivot_middle,1000,5,0.0147
pivot_middle,1000,5,0.0116
pivot_middle,1000,5,0.015
pivot_middle,1000,5,0.01
pivot_middle,1000,5,0.0106
pivot_middle,1000,5,0.0091
pivot_middle,1000,5,0.0094
pivot_middle,1000,5,0.0181
pivot_middle,1000,25,0.0145
pivot_middle,1000,25,0.0168
pivot_middle,1000,25,0.015
pivot_middle,1000,25,0.0094
pivot_middle,1000,25,0.009
pivot_middle,1000,25,0.0109
pivot_middle,1000,25,0.0091
pivot_middle,1000,25,0.0199
pivot_middle,1000,25,0.0114
pivot_middle,1000,25,0.009
pivot_middle,1000,45,0.0123
pivot_middle,1000,45,0.0165
pivot_middle,1000,45,0.0111
pivot_middle,1000,45,0.0113
pivot_middle,1000,45,0.0168
pivot_middle,1000,45,0.0109
pivot_middle,1000,45,0.0116
pivot_middle,1000,45,0.0106
pivot_middle,1000,45,0.0121
pivot_middle,1000,45,0.0158
pivot_middle,10000,5,1.4084
pivot_middle,10000,5,1.6252
pivot_middle,10000,5,0.9789
pivot_middle,10000,5,1.5211
pivot_middle,10000,5,1.1729
pivot_middle,10000,5,1.3782
pivot_middle,10000,5,1.2739
pivot_middle,10000,5,1.5493
pivot_middle,10000,5,1.3991
pivot_middle,10000,5,0.8786
pivot_middle,10000,25,1.0117
pivot_middle,10000,25,1.5833
pivot_middle,10000,25,0.8128
pivot_middle,10000,25,1.7094
pivot_middle,10000,25,1.4485
pivot_middle,10000,25,0.8281
pivot_middle,10000,25,2.0283
pivot_middle,10000,25,1.2651
pivot_middle,10000,25,1.3972
pivot_middle,10000,25,1.6431
pivot_middle,10000,45,1.177
pivot_middle,10000,45,0.848
pivot_middle,10000,45,1.2312
pivot_middle,10000,45,1.6234
pivot_middle,10000,45,1.1712
pivot_middle,10000,45,1.6133
pivot_middle,10000,45,0.8953
pivot_middle,10000,45,1.6698
pivot_middle,10000,45,1.6054
pivot_middle,10000,45,0.9222
pivot_middle,100000,5,62.9087
pivot_middle,100000,5,123.1508
pivot_middle,100000,5,158.4672
pivot_middle,100000,5,182.4261
pivot_middle,100000,5,64.4405
pivot_middle,100000,5,198.4553
pivot_middle,100000,5,113.5193
pivot_middle,100000,5,162.5564
pivot_middle,100000,5,93.2044
pivot_middle,100000,5,88.895
pivot_middle,100000,25,151.7371
pivot_middle,100000,25,124.8969
pivot_middle,100000,25,162.3502
pivot_middle,100000,25,102.6884
pivot_middle,100000,25,217.9913
pivot_middle,100000,25,82.5743
pivot_middle,100000,25,139.0318
pivot_middle,100000,25,115.1159
pivot_middle,100000,25,118.3201
pivot_middle,100000,25,112.0858
pivot_middle,100000,45,217.4578
pivot_middle,100000,45,128.7319
pivot_middle,100000,45,200.5024
pivot_middle,100000,45,130.3686
pivot_middle,100000,45,123.7274
pivot_middle,100000,45,128.8526
pivot_middle,100000,45,115.1613
pivot_middle,100000,45,133.2156
pivot_middle,100000,45,147.3366
pivot_middle,100000,45,72.9072
