method,list_size,shuffle_percentage,time_seconds
pivot_random,100,5,0.0002
pivot_random,100,5,0.0002
pivot_random,100,5,0.0002
pivot_random,100,5,0.0003
pivot_random,100,5,0.0003
pivot_random,100,5,0.0002
pivot_random,100,5,0.0002
pivot_random,100,5,0.0003
pivot_random,100,5,0.0002
pivot_random,100,5,0.0003
pivot_random,100,25,0.0002
pivot_random,100,25,0.0003
pivot_random,100,25,0.0002
pivot_random,100,25,0.0002
pivot_random,100,25,0.0002
pivot_random,100,25,0.0003
pivot_random,100,25,0.0002
pivot_random,100,25,0.0002
pivot_random,100,25,0.0003
pivot_random,100,25,0.0003
pivot_random,100,45,0.0003
pivot_random,100,45,0.0003
pivot_random,100,45,0.0003
pivot_random,100,45,0.0002
pivot_random,100,45,0.0003
pivot_random,100,45,0.0002
pivot_random,100,45,0.0003
pivot_random,100,45,0.0003
pivot_random,100,45,0.0002
pivot_random,100,45,0.0002
pivot_random,1000,5,0.0037
pivot_random,1000,5,0.0049
pivot_random,1000,5,0.0084
pivot_random,1000,5,0.007
pivot_random,1000,5,0.008
pivot_random,1000,5,0.0084
pivot_random,1000,5,0.0042
pivot_random,1000,5,0.0069
pivot_random,1000,5,0.0039
pivot_random,1000,5,0.0076
pivot_random,1000,25,0.0043
pivot_random,1000,25,0.0038
pivot_random,1000,25,0.0074
pivot_random,1000,25,0.0045
pivot_random,1000,25,0.0038
pivot_random,1000,25,0.0066
pivot_random,1000,25,0.008
pivot_random,1000,25,0.0064
pivot_random,1000,25,0.0066
pivot_random,1000,25,0.0039
pivot_random,1000,45,0.007
pivot_random,1000,45,0.0046
pivot_random,1000,45,0.0067
pivot_random,1000,45,0.004
pivot_random,1000,45,0.0075
pivot_random,1000,45,0.004
pivot_random,1000,45,0.0041
pivot_random,1000,45,0.0072
pivot_random,1000,45,0.0083
pivot_random,1000,45,0.0072
pivot_random,10000,5,0.1795
pivot_random,10000,5,0.2363
pivot_random,10000,5,0.1116
pivot_random,10000,5,0.1871
pivot_random,10000,5,0.1216
pivot_random,10000,5,0.1198
pivot_random,10000,5,0.184
pivot_random,10000,5,0.2078
pivot_random,10000,5,0.208
pivot_random,10000,5,0.225
pivot_random,10000,25,0.1075
pivot_random,10000,25,0.2252
pivot_random,10000,25,0.2008
pivot_random,10000,25,0.2142
pivot_random,10000,25,0.1731
pivot_random,10000,25,0.1961
pivot_random,10000,25,0.1091
pivot_random,10000,25,0.1131
pivot_random,10000,25,0.2018
pivot_random,10000,25,0.2026
pivot_random,10000,45,0.1128
pivot_random,10000,45,0.1143
pivot_random,10000,45,0.1793
pivot_random,10000,45,0.2025
pivot_random,10000,45,0.191
pivot_random,10000,45,0.2294
pivot_random,10000,45,0.2125
pivot_random,10000,45,0.2247
pivot_random,10000,45,0.2399
pivot_random,10000,45,0.1236
pivot_random,100000,5,3.44
pivot_random,100000,5,6.002
pivot_random,100000,5,5.3257
pivot_random,100000,5,3.3538
pivot_random,100000,5,3.6761
pivot_random,100000,5,3.7067
pivot_random,100000,5,3.7234
pivot_random,100000,5,3.7282
pivot_random,100000,5,5.8807
pivot_random,100000,5,3.5385
pivot_random,100000,25,5.769
pivot_random,100000,25,6.5359
pivot_random,100000,25,7.1569
pivot_random,100000,25,5.8545
pivot_random,100000,25,5.3813
pivot_random,100000,25,4.3528
pivot_random,100000,25,6.4587
pivot_random,100000,25,3.5445
pivot_random,100000,25,5.8746
pivot_random,100000,25,5.7358
pivot_random,100000,45,5.9932
pivot_random,100000,45,3.5824
pivot_random,100000,45,5.7463
pivot_random,100000,45,3.3503
pivot_random,100000,45,6.0239
pivot_random,100000,45,3.7976
pivot_random,100000,45,3.6406
pivot_random,100000,45,3.5198
pivot_random,100000,45,3.3112
pivot_random,100000,45,3.563
